filename, wordcount, series
015c_little_miss_stoneybrook_and_dawn.txt, 27087, main
009c_the_ghost_at_dawns_house.txt, 26291, main
pc5c_kristys_book.txt, 21916, pc
016c_jessis_secret_language.txt, 26792, main
091c_claudia_and_the_first_thanksgiving.txt, 23657, main
104c_abbys_twin.txt, 23464, main
037c_dawn_and_the_older_boy.txt, 24120, main
m29c_stacey_and_the_fashion_victim.txt, 27546, m
010c_logan_likes_mary_anne.txt, 25677, main
047c_mallory_on_strike.txt, 29116, main
072c_dawn_and_the_we_heart_kids_club.txt, 23850, main
078c_claudia_and_crazy_peaches.txt, 26259, main
130c_staceys_movie.txt, 22900, main
cd05c_ducky1.txt, 21072, cd
057c_dawn_saves_the_planet.txt, 27411, main
099c_staceys_broken_heart.txt, 28644, main
m01c_stacey_and_the_mystery_ring.txt, 27488, m
cd06c_sunny2.txt, 18404, cd
115c_jessis_big_break.txt, 24112, main
002c_claudia_and_the_phantom_phone_calls.txt, 27930, main
123c_claudias_big_party.txt, 26794, main
m15c_kristy_and_the_vampires.txt, 28095, m
063c_claudias_freind_friend.txt, 26982, main
m16c_claudia_and_the_clue_in_the_photograph.txt, 30832, m
018c_staceys_mistake.txt, 25884, main
cd10c_ducky2.txt, 18573, cd
089c_kristy_and_the_dirty_diapers.txt, 25260, main
069c_get_well_soon_mallory.txt, 25702, main
028c_welcome_back_stacey.txt, 25835, main
107c_mind_your_own_business_kristy.txt, 22825, main
pc4c_mary_annes_book.txt, 25734, pc
m34c_mary_anne_and_the_haunted_bookstore.txt, 36287, m
088c_farewell_dawn.txt, 24179, main
030c_mary_anne_and_the_great_romance.txt, 26513, main
045c_kristy_and_the_baby_parade.txt, 26847, main
cd15c_ducky3.txt, 16265, cd
109c_mary_anne_to_the_rescue.txt, 25003, main
074c_kristy_and_the_copycat.txt, 24787, main
075c_jessis_horrible_prank.txt, 23470, main
cd11c_dawn3.txt, 13984, cd
m28c_abby_and_the_mystery_baby.txt, 27108, m
073c_mary_anne_and_miss_priss.txt, 26813, main
007c_claudia_and_mean_jeanine.txt, 26131, main
128c_claudia_and_the_little_liar.txt, 21732, main
m03c_mallory_and_the_ghost_cat.txt, 33981, m
022c_jessi_ramsey_petsitter.txt, 26079, main
077c_dawn_and_whitney_friends_forever.txt, 27004, main
m21c_claudia_and_the_recipe_for_danger.txt, 27784, m
033c_claudia_and_the_great_search.txt, 26324, main
m35c_abby_and_the_notorius_neighbor.txt, 25247, m
cd08c_maggie2.txt, 20572, cd
m31c_mary_anne_and_the_music_box_secret.txt, 28238, m
039c_poor_mallory.txt, 25816, main
025c_mary_anne_and_the_search_for_tigger.txt, 26060, main
043c_staceys_emergency.txt, 26935, main
131c_the_fire_at_mary_annes_house.txt, 26831, main
046c_mary_anne_misses_logan.txt, 25848, main
011c_kristy_and_the_snobs.txt, 26618, main
125c_mary_anne_in_the_middle.txt, 22252, main
083c_stacey_vs_the_bsc.txt, 22366, main
cd07c_dawn2.txt, 16084, cd
097c_claudia_and_the_worlds_cutest_baby.txt, 23831, main
118c_kristy_thomas_dog_trainer.txt, 21439, main
058c_staceys_choice.txt, 25888, main
066c_maid_mary_anne.txt, 29361, main
026c_claudia_and_the_sad_goodbye.txt, 27165, main
029c_mallory_and_the_mystery_diary.txt, 24184, main
079c_mary_anne_breaks_the_rules.txt, 22897, main
000c_the_summer_before.txt, 44523, main
cd14c_amalia3.txt, 12657, cd
013c_goodbye_stacey_goodbye.txt, 25562, main
122c_kristy_in_charge.txt, 22826, main
006c_kristys_big_day.txt, 27079, main
095c_kristy_plus_bart_equals_questionmark.txt, 23540, main
m23c_abby_and_the_secret_society.txt, 28235, m
038c_kristys_mystery_admirer.txt, 26125, main
082c_jessi_and_the_troublemaker.txt, 24267, main
100c_kristys_worst_idea.txt, 26217, main
113c_claudia_makes_up_her_mind.txt, 23257, main
124c_stacey_mcgill_matchmaker.txt, 23986, main
119c_staceys_ex_boyfriend.txt, 22967, main
112c_kristy_and_the_sister_war.txt, 25257, main
092c_mallorys_christmas_wish.txt, 23612, main
027c_jessi_and_the_superbrat.txt, 25773, main
m02c_beware_dawn.txt, 27184, m
111c_staceys_secret_friend.txt, 21125, main
101c_claudia_kishi_middle_school_dropout.txt, 28114, main
cd03c_maggie1.txt, 20340, cd
serr2c_logan_bruno_boy_babysitter.txt, 24026, main
012c_claudia_and_the_new_girl.txt, 26497, main
085c_claudia_kishi_live_from_wsto.txt, 23124, main
020c_kristy_and_the_walking_disaster.txt, 26130, main
098c_dawn_and_too_many_sitters.txt, 23006, main
024c_kristy_and_the_mothers_day_surprise.txt, 25943, main
050c_dawns_big_date.txt, 29622, main
m32c_claudia_and_the_mystery_in_the_painting.txt, 30948, m
090c_welcome_to_the_bsc_abby.txt, 23660, main
m04c_kristy_and_the_missing_child.txt, 27132, m
cd01c_dawn1.txt, 26827, cd
129c_kristy_at_bat.txt, 27978, main
114c_the_secret_life_of_mary_anne_spier.txt, 22603, main
m05c_mary_anne_and_the_secret_in_the_attic.txt, 26051, m
044c_dawn_and_the_big_sleepover.txt, 24944, main
001c_kristys_great_idea.txt, 27588, main
031c_dawns_wicked_stepsister.txt, 26284, main
cd13c_maggie3.txt, 19390, cd
110c_abby_and_the_bad_sport.txt, 23155, main
serr1c_logans_story.txt, 25309, main
126c_the_all_new_mallory_pike.txt, 26896, main
pc2c_claudias_book.txt, 26715, pc
cd02c_sunny1.txt, 21539, cd
094c_stacey_mcgill_super_sitter.txt, 26036, main
019c_claudia_and_the_bad_joke.txt, 26883, main
032c_kristy_and_the_secret_of_susan.txt, 25970, main
053c_kristy_for_president.txt, 27124, main
067c_dawns_big_move.txt, 25143, main
021c_mallory_and_the_trouble_with_twins.txt, 25193, main
117c_claudia_and_the_terrible_truth.txt, 24298, main
042c_jessi_and_the_dance_school_phantom.txt, 34521, main
m30c_kristy_and_the_mystery_train.txt, 25599, m
008c_boy_crazy_stacey.txt, 24890, main
m20c_mary_anne_and_the_zoo_mystery.txt, 31175, m
m09c_kristy_and_the_haunted_mansion.txt, 28132, m
m08c_jessi_and_the_jewel_thieves.txt, 28420, m
076c_staceys_lie.txt, 31339, main
cd04c_amalia1.txt, 18836, cd
105c_stacey_the_math_whiz.txt, 24844, main
087c_stacey_and_the_bad_girls.txt, 24508, main
034c_mary_anne_and_too_many_boys.txt, 24268, main
070c_stacey_and_the_cheerleaders.txt, 25515, main
084c_dawn_and_the_school_spirit_war.txt, 25113, main
055c_jessis_gold_medal.txt, 26346, main
108c_dont_give_up_mallory.txt, 28451, main
003c_the_truth_about_stacey.txt, 30117, main
m27c_claudia_and_the_lighthouse_ghost.txt, 26112, m
cd12c_sunny3.txt, 29603, cd
049c_claudia_and_the_genius_of_elm_street.txt, 25270, main
m24c_mary_anne_and_the_silent_witness.txt, 28223, m
040c_claudia_and_the_middle_school_mystery.txt, 24995, main
036c_jessis_babysitter.txt, 24831, main
005c_dawn_and_the_impossible_three.txt, 29910, main
086c_mary_anne_and_camp_bsc.txt, 26630, main
cd09c_amalia2.txt, 14649, cd
081c_kristy_and_mr_mom.txt, 28780, main
m10c_stacey_and_the_mystery_money.txt, 33512, m
059c_mallory_hates_boys_and_gym.txt, 26991, main
m26c_dawn_schafer_undercover_babysitter.txt, 27910, m
023c_dawn_on_the_coast.txt, 24510, main
102c_mary_anne_and_the_little_princess.txt, 25081, main
m07c_dawn_and_the_disappearing_dogs.txt, 26986, m
068c_jessi_and_the_bad_babysitter.txt, 25705, main
116c_abby_and_the_best_kid_ever.txt, 23468, main
065c_staceys_big_crush.txt, 25768, main
062c_kristy_and_the_worst_kid_ever.txt, 29571, main
m11c_claudia_and_the_mystery_at_the_museum.txt, 26654, m
121c_abby_in_wonderland.txt, 23998, main
pc1c_staceys_book.txt, 27027, pc
m33c_stacey_and_the_stolen_hearts.txt, 24781, m
m36c_kristy_and_the_cat_burglar.txt, 27560, m
017c_mary_annes_bad_luck_mystery.txt, 25242, main
061c_jessi_and_the_awful_secret.txt, 26549, main
096c_abbys_lucky_thirteen.txt, 23804, main
103c_happy_holidays_jessi.txt, 23603, main
pc3c_dawns_book.txt, 23439, pc
m14c_stacey_and_the_mystery_at_the_mall.txt, 29865, m
106c_claudia_queen_of_the_seventh_grade.txt, 25176, main
048c_jessis_wish.txt, 24971, main
m06c_the_mystery_at_claudias_house.txt, 27581, m
071c_claudia_and_the_perfect_boy.txt, 28955, main
m17c_dawn_and_the_halloween_mystery.txt, 29060, m
051c_staceys_ex_best_friend.txt, 24508, main
serr3c_shannons_story.txt, 26623, main
056c_keep_out_claudia.txt, 24579, main
127c_abbys_un_valentine.txt, 24998, main
m12c_dawn_and_the_surfer_ghost.txt, 26905, m
035c_stacey_and_the_mystery_of_stoneybrook.txt, 27207, main
m19c_kristy_and_the_missing_fortune.txt, 28856, m
093c_mary_anne_and_the_memory_garden.txt, 27669, main
m25c_kristy_and_the_middle_school_vandal.txt, 26080, m
060c_mary_annes_makeover.txt, 24758, main
080c_mallory_pike_no_1_fan.txt, 27536, main
m22c_stacey_and_the_haunted_masquerade.txt, 28708, m
pc6c_abbys_book.txt, 21039, pc
014c_hello_mallory.txt, 24607, main
m13c_mary_anne_and_the_library_mystery.txt, 28432, m
120c_mary_anne_and_the_playground_fight.txt, 22458, main
064c_dawns_family_feud.txt, 23708, main
004c_mary_anne_saves_the_day.txt, 30770, main
054c_mallory_and_the_dream_horse.txt, 29581, main
052c_mary_anne_plus_too_many_babies.txt, 24905, main
m18c_stacey_and_the_mystery_at_the_empty_house.txt, 29174, m
041c_mary_anne_vs_logan.txt, 25474, main
